Date,Episode,Guests
20160605,Ep302, 呂珍九 TWICE
20160529,Ep301, 無嘉賓
20160522,Ep300, 無嘉賓
20160515,Ep299, 柳仁英 洪真英 嚴賢璟 景收真 趙寶兒
20160508,Ep298, 金成均 李帝勳 高雅羅
20160501,Ep297, 晉久 金智媛 恩熙
20160424,Ep296, 無嘉賓
20160417,Ep295, 無嘉賓
20160410,Ep294, 宋旻浩 南太鉉 惠利
20160403,Ep293, 無嘉賓
20160327,Ep292, 鄭靜雅 朴明浩 Wax V.One Mikey
20160320,Ep291, 無嘉賓
20160313,Ep290, 李多海 丁一宇
20160306,Ep289, 李多海 丁一宇
20160228,Ep288, 無嘉賓
20160221,Ep287, 李洪烈 柳列 金度均 安吉強 朴美善
20160214,Ep286, 金佳妍
20160207,Ep285, 無嘉賓
20160131,Ep284, 朴智星 鄭大世 池笑然
20160124,Ep283, 金泰映 朴智星 金東進 金在成 鄭大世
20160117,Ep282, 李熙俊 洪允花 任時完 高我星
20160110,Ep281, 林智妍
20160103,Ep280, 無嘉賓
20151227,Ep279, 金正男 李宗秀 蔡妍 李智賢 金智?
20151220,Ep278, 金正男 李宗秀 蔡妍 李智賢 金智?
20151213,Ep277, 無嘉賓
20151206,Ep276, 無嘉賓
20151129,Ep275, 林遙煥 洪榛浩 利特 金希澈 哈妮
20151122,Ep274, 金光奎 朴修弘 趙正治 閔庚勳 Niel
20151115,Ep273, 鄭燦宇 金泰均 張在英 李東燁 李正秀
20151108,Ep272, 百人嘉賓
20151101,Ep271, 百人嘉賓
20151025,Ep270, 無嘉賓
20151018,Ep269, 金希沅 李天熙 朴寶英
20151011,Ep268, 朴韓星 朴娜萊 尹博 金子仁 孔昇延
20151004,Ep267, 無嘉賓
20150927,Ep266, 林周煥 洪真英 銀赫
20150920,Ep265, 圭賢 John Park 譽恩 Rap Monster
20150913,Ep264, 成東日 權相佑
20150906,Ep263, 李棟旭 朴敘俊 Yura
20150830,Ep262, 金秀路 姜聲振 金民教 朴建炯 南寶拉
20150823,Ep261, 無嘉賓
20150816,Ep260, 金健模 朴俊炯 具俊燁 李漢爾 李在勳
20150809,Ep259, 李?原 車藝蓮
20150802,Ep258, 黃正民 鄭滿植 張允珠
20150726,Ep257, 玄周燁 宋鍾國 洪榛浩 金軟景 申秀智
20150719,Ep256, Jun.K Nichkhun 澤演 祐榮 俊昊
20150712,Ep255, 李國主 寶拉 昭宥 尹普美 雪炫
20150705,Ep254, 少女時代
20150628,Ep253, 徐賢真 朴荷娜 都想友 黃承言 海嶺
20150621,Ep252, Verbal Jint 殷志源 San E 朴載範 Jessi
20150614,Ep251, 金素賢 孫俊浩 Star
20150607,Ep250, BIGBANG
20150531,Ep249, 金俊鉉 U-ie
20150524,Ep248, 朴俊炯 KangNam Nichkhun Henry Amber
20150517,Ep247, 無嘉賓
20150510,Ep246, 孫賢周 朴敘俊
20150503,Ep245, Jinu Sean
20150426,Ep244, 金釉利 張度妍 Jessi 草娥 徐睿知
20150419,Ep243, 張水院 姜均成 孫浩俊 柳炳宰 洪宗玄
20150412,Ep242, 丁一宇 鄭容和 李洪基
20150405,Ep241, 朴藝珍 尹珍序 申世景
20150329,Ep240, 金宇彬 俊昊 姜河那
20150322,Ep239, 成始? 金東賢
20150315,Ep238, 芮智媛 金瑞亨
20150308,Ep237, 庭沼? 哈妮 尹邵熙 南志鉉 Yerin
20150301,Ep236, Eric 李玟雨 金烔完 申彗星 前進
20150222,Ep235, 金成鈴 裕善 延政勳 Shoo 瑞雨
20150215,Ep234, 金成鈴 裕善 延政勳 Shoo 瑞雨
20150208,Ep233, 素珍 厲旭 張東雨 旼赫 孫東雲
20150201,Ep232, 吳賢慶 金志秀 金元俊 洪京民 朴智允
20150125,Ep231, 無嘉賓
20150118,Ep230, 徐河俊 洪宗玄 崔泰俊 徐康俊 南柱赫
20150111,Ep229, 李昇基 文彩元 李瑞鎮
20150104,Ep228, 李昇基 文彩元 李瑞鎮
20141228,Ep227, 柳賢振 姜正浩
20141221,Ep226, 金惠子 李天熙 姜惠貞
20141214,Ep225, 金宇彬 李玹雨
20141207,Ep224, 全昭旻 慶收真 李成景 韓可露 宋佳妍
20141130,Ep223, 無嘉賓
20141123,Ep222, 無嘉賓
20141116,Ep221, 金慶皓 金煙雨 Bobby Kim 鄭仁 Narsha
20141109,Ep220, 朴修弘 金民教 張東民 宋再臨 KangNam
20141102,Ep219, 韓尚進 朱相昱 韓藝瑟 鄭糠雲 王智慧
20141026,Ep218, 金智勳 吳漣序 鄭恩地
20141019,Ep217, 趙震雄 吳尚鎮 金成均
20141012,Ep216, 無嘉賓
20141005,Ep215, 曹政奭 新?娥
20140928,Ep214, 朴英奎 Alex 金基邦 Rain Krystal
20140921,Ep213, 李幼梨 崔汝珍 柳仁英 金旼序 瑞雨
20140907,Ep212, 李成宰 宋恩伊 Skull 金泰宇 任瑟雍
20140831,Ep211, 李成宰 宋恩伊 Skull 金泰宇 任瑟雍
20140824,Ep210, 陸鐘完 金煥 金元孝 李惠貞 祐榮
20140817,Ep209, 文熙俊 千明勳 殷志源 安信源 昭宥
20140810,Ep208, 秀智
20140803,Ep207, 朴修弘 南熙石 金濟東 李昭娟 金希澈
20140727,Ep206, 洪錫天 周元
20140720,Ep205, 白智榮 洪真英 李國主 姜承賢 Fei
20140713,Ep204, 柳承秀
20140706,Ep203, 地成 許景煥 朱智勳 車由蘭 Fabien
20140629,Ep202, 地成 許景煥 朱智勳 車由蘭 Fabien
20140622,Ep201, ?豪 燦盛 寶拉 聖圭 Hoya
20140615,Ep200, 朴智星
20140608,Ep199, 朴智星
20140601,Ep198, Narsha 韓惠珍 崔熙 朴書俊 夏沇秀
20140525,Ep197, 無嘉賓
20140518,Ep196, 無嘉賓
20140511,Ep195, 尹鍾信 趙正治 Muzie JunK Nichkhun
20140504,Ep194, 金正蘭 柳承秀 金旻鍾 吳萬石 林周煥
20140413,Ep193, 金正蘭 柳承秀 金旻鍾 吳萬石 林周煥
20140406,Ep192, 金正蘭 柳承秀 金旻鍾 吳萬石 林周煥
20140330,Ep191, Rain 金宇彬
20140323,Ep190, 權海孝 孔炯軫 金知碩 李相侖 具惠善
20140316,Ep189, Rain 金宇彬
20140309,Ep188, Rain 金宇彬
20140302,Ep187, 無嘉賓
20140223,Ep186, 鄭容和 李宗泫 姜敏赫 李正信 沈恩敬
20140216,Ep185, 來自星星的你特輯 無嘉賓
20140209,Ep184, 徐仁國 姜藝媛 朴書俊 孫浩俊 Baro
20140202,Ep183, 趙敏修 嚴正化 文素利
20140126,Ep182, 時完 都熙 呂珍九
20140119,Ep181, 李鍾碩 朴寶英 李世榮
20140112,Ep180, 朴修弘 金京浩 宋慶雅 李棟旭 栽經
20140105,Ep179, 朴修弘 金京浩 宋慶雅 李棟旭 栽經
20131229,Ep178, 無嘉賓
20131222,Ep177, 吉
20131215,Ep176, 金光奎 李笛 全炫茂 Muzie 張基河
20131208,Ep175, 朴喜洵 孔劉
20131201,Ep174, 韓惠軫 李昇基 寶拉
20131124,Ep173, 柳賢振 秀智
20131117,Ep172, 柳賢振 秀智
20131110,Ep171, 柳賢振 秀智
20131103,Ep170, 尹帝文 TOP 金有貞
20131027,Ep169, 朱相昱 梁東根
20131020,Ep168, 朴明洙 IU
20131013,Ep167, 千正明 金玟廷
20131006,Ep166, 崔真赫 金宇彬 朴信惠
20130929,Ep165, 無嘉賓
20130922,Ep164, 金海淑 劉亞仁
20130915,Ep163, G-Dragon 大聲 勝利
20130908,Ep162, 祐榮 燦盛 昇昊 李準 尹斗俊
20130901,Ep161, Eric 李玟雨 申彗星 前進 Andy
20130825,Ep160, Eric 李玟雨 申彗星 前進 Andy
20130818,Ep159, 朴相勉 金光奎 趙正治 鄭仁 小百合
20130811,Ep158, 孫賢周 全美善 文晶熙
20130804,Ep157, 鄭雄仁 安吉強 金希沅
20130728,Ep156, CL 朴春 Sandara Park 孔敏知
20130721,Ep155, 秀智
20130714,Ep154, 朴智星 Sulli 具滋哲 埃夫拉
20130707,Ep153, 朴智星 Sulli 具滋哲 埃夫拉
20130630,Ep152, 鄭雨盛 韓孝周 俊昊
20130623,Ep151, 鄭雨盛 韓孝周 俊昊
20130616,Ep150, 鄭斗洪 秋成勳 澤演 燦盛
20130609,Ep149, 金守美 朴素賢 宋恩伊 金淑 權梨世
20130602,Ep148, 鄭埻夏 蘇怡賢
20130526,Ep147, 金秀賢 李玹雨
20130519,Ep146, 嚴正化 金相慶
20130512,Ep145, 金炳萬 盧宇振 朴正哲 全慧彬 鄭珍雲
20130505,Ep144, 車仁杓 徐章勳 Ricky Kim
20130428,Ep143, 李敬揆 金吝勸 柳賢慶
20130421,Ep142, 李寶英 李相侖
20130414,Ep141, 殷志源 Jessica
20130407,Ep140, 無嘉賓
20130331,Ep139, 李沇熹 高雅羅
20130324,Ep138, 金秀路 閔孝琳 金宇彬 李鍾碩 李宗泫
20130317,Ep137, 盧士燕 U-ie
20130310,Ep136, 李棟旭 韓惠軫
20130303,Ep135, 成龍 崔始源
20130224,Ep134, 李棟旭 韓惠軫
20130217,Ep133, 李棟旭 韓惠軫
20130210,Ep132, 黃正民 朴誠雄 泫雅
20130203,Ep131, 秋成勳 李是英
20130127,Ep130, 無嘉賓
20130120,Ep129, ?豪 Sulli 李準 鄭容和 李宗泫
20130113,Ep128, 朴新陽 嚴智苑
20130106,Ep127, 崔智友 Simon D 李起光 鄭容和 李宗泫
20121230,Ep126, 崔智友
20121223,Ep125, 朴相勉 鄭亨敦 柳談 Juvie Train 神童
20121216,Ep124, 高洙 韓孝周
20121209,Ep123, 高洙 韓孝周
20121202,Ep122, 金泰亨 鄭源官 李尚原 朴南正 姜修智
20121125,Ep121, 李昇基 朴信惠
20121118,Ep120, 李昇基 朴信惠
20121111,Ep119, 秋信守 柳賢振 陳世?
20121104,Ep118, 崔民秀
20121028,Ep117, 池珍熙 地成 宋昶義 婑斌 秀智
20121021,Ep116, 池珍熙 地成 宋昶義 婑斌 秀智
20121014,Ep115, 文瑾瑩 瑜鹵允浩 最強昌?
20121007,Ep114, 文瑾瑩 瑜鹵允浩 最強昌?
20120930,Ep113, 劉海鎮 全美善 廉晶雅
20120923,Ep112, 林河龍 孫炳昊 李鍾原 申正根 高昌錫
20120916,Ep111, 林河龍 孫炳昊 李鍾原 申正根 高昌錫
20120909,Ep110, 朴泰桓 孫延在
20120902,Ep109, 朴泰桓 孫延在
20120826,Ep108, 孔曉振 李準
20120819,Ep107, 金相中 張新英 Gaeko
20120812,Ep106, 韓志旼 金濟東
20120805,Ep105, 韓志旼 金濟東
20120722,Ep104, 銀赫 Nichkhun 慇晶 李準 尹斗俊
20120715,Ep103, 盧士燕 申世景 劉俊相
20120708,Ep102, 金秀賢
20120701,Ep101, 尹鍾信 尹道賢 金範洙
20120624,Ep100, 金喜善
20120617,Ep99, 林湖 李太坤
20120610,Ep98, 無嘉賓
20120603,Ep97, 朴智星 IU
20120527,Ep96, 朴智星 IU
20120520,Ep95, 朴智星 IU
20120513,Ep94, 奎利 昇延 泫雅 Krystal 秀智
20120506,Ep93, 奎利 昇延 泫雅 Krystal 秀智
20120429,Ep92, 朴軫泳 千正明
20120422,Ep91, 無嘉賓
20120415,Ep90, 李德華 朴俊奎 朴相勉
20120408,Ep89, 鄭在型 寶兒
20120401,Ep88, 鄭在型 寶兒
20120325,Ep87, 韓佳人
20120318,Ep86, 河智苑 Gaeko
20120311,Ep85, GDragon TOP 太陽 大聲 勝利
20120304,Ep84, GDragon TOP 太陽 大聲 勝利
20120226,Ep83, 李多海 吳智昊
20120219,Ep82, 李多海
20120212,Ep81, 無嘉賓
20120205,Ep80, 高雅羅 林秀香 孝敏
20120129,Ep79, 尹道賢 金濟東
20120122,Ep78, 李凡秀 洪洙賢
20120115,Ep77, 池珍熙 金聖洙 朱相昱 李天熙 IU
20120108,Ep76, 池珍熙 金聖洙 朱相昱 李天熙 IU
20120101,Ep75, 崔始源 昭熙 ?豪 Sulli 孝琳
20111225,Ep74, 無嘉賓
20111218,Ep73, 李?廷 鄭容和
20111211,Ep72, 李?廷 鄭容和
20111204,Ep71, 吳娟受 趙惠蓮
20111127,Ep70, 孫藝珍 朴哲民 李民基
20111120,Ep69, 崔民秀
20111113,Ep68, 金秀路 朴藝珍
20111106,Ep67, 金秀路 朴藝珍
20111030,Ep66, 金宣兒 宋仲基
20111023,Ep65, 金宣兒 金柱赫
20111009,Ep64, 少女時代
20111002,Ep63, 少女時代
20110925,Ep62, 金柱赫 李沇熹 姜知英
20110918,Ep61, 金柱赫 李沇熹 姜知英
20110911,Ep60, 無嘉賓
20110904,Ep59, Tiger JK 尹未來
20110828,Ep58, 車太鉉 申世景
20110821,Ep57, 車太鉉 申世景
20110814,Ep56, 安文淑 梁?疋 金淑 申奉仙
20110807,Ep55, 智妍 Luna Sulli 秀智
20110731,Ep54, 地成 崔江熙
20110724,Ep53, 崔民秀 尹素怡
20110717,Ep52, 崔民秀 尹素怡
20110710,Ep51, 金玟廷 Nichkhun
20110703,Ep50, 金玟廷 Nichkhun
20110626,Ep49, 盧士燕 具荷拉
20110619,Ep48, 無嘉賓
20110612,Ep47, 金賢重
20110605,Ep46, 金賢重
20110529,Ep45, 張赫
20110522,Ep44, 張赫
20110515,Ep43, 申奉仙 IU
20110508,Ep42, 無嘉賓
20110501,Ep41, 朴重勳 李善均
20110424,Ep40, Nichkhun 澤演
20110417,Ep39, Sunny 潤娥
20110410,Ep38, 無嘉賓
20110403,Ep37, 朴藝珍
20110327,Ep36, 大聲 鄭容和
20110320,Ep35, 大聲 鄭容和
20110313,Ep34, 朴俊奎 U-ie
20110306,Ep33, 吳智昊
20110227,Ep32, Tony安 金光奎
20110220,Ep31, 玄英
20110213,Ep30, 勝利
20110206,Ep29, 無嘉賓
20110130,Ep28, 金炳萬
20110123,Ep27, 瑜鹵允浩 最強昌?
20110116,Ep26, 鄭進永 李文植
20110109,Ep25, 朴寶英
20110102,Ep24, 李敬實 宋恩伊
20101226,Ep23, 沈炯來
20101219,Ep22, 金旻鍾 崔始源
20101212,Ep21, 金濟東
20101205,Ep20, 金希澈
20101128,Ep19, Nichkhun
20101121,Ep18, Lizzy
20101107,Ep17, 高周元 鄭容和
20101031,Ep16, 俞利
20101024,Ep15, Tony安 金光奎
20101017,Ep14, Lizzy
20101003,Ep13, 張東民 Lizzy
20100926,Ep12, 無嘉賓
20100919,Ep11, 金濟東 鄭容和
20100912,Ep10, 車太鉉 尹世雅
20100905,Ep9, 金秀路 申奉仙 李洪基
20100829,Ep8, 朴俊奎 Victoria 李準
20100822,Ep7, 趙權 咸慇晶 鄭容和
20100815,Ep6, Se7en 孫淡妃 金信英
20100808,Ep5, 宋智孝 Nichkhun Jessica
20100801,Ep4, 宋智孝 Nichkhun Jessica
20100725,Ep3, 宋智孝 李天熙 具荷拉
20100718,Ep2, 宋智孝 李天熙 具荷拉
20100711,Ep1, 李孝利 黃靜音
